""099cae09-b337-4cd8-bd50-4675a9eba278""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""3a8cf3f5-4e4a-44fa-80c0-8f4f6ceb78d4""|1|""|"" ""
""295ff98e-653e-4600-b1db-7aa3032bd759""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""f1bf9f94-c8c1-4827-ac82-1ea131bdc460""|1|""|"" ""
""431d339d-639f-4ace-bdfe-4728fd3925b1""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""4597847d-f181-4ec4-9f91-d39254a77480""|1|""|"" ""
""f822b984-27cc-4594-b729-57484eebf20b""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""230f9f53-214a-42ec-ae28-dfe9dc93841a""|1|""0534-Larnach-Castle-Dunedin-Derek-Morrison_1442196356.jpg""|"" ""
""c44a6aa2-0fd6-4920-bc9a-5cef6b95a902""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""230f9f53-214a-42ec-ae28-dfe9dc93841a""|2|""4567-Otago-Peninsula-Dunedin-DunedinNZ_1442196363.jpg""|"" ""
""32149d1f-1906-4d87-87bd-a6a9c6f9970f""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""99ad7797-dac5-430c-87a5-0e4b32d5eb67""|1|""L130-Central-Otago-Central-Otago-David-Wall_1442188773.jpg""|"" ""
""0ef35a4c-6132-49f2-8109-001d1d347619""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""121029b6-4e94-4aec-bc02-ac000656b391""|1|""AD109-Auckland-Bridge-Auckland-AJ-Hackett-Bungy-New-Zealand_1442203354.jpg""|"" ""
""e96eaba7-a6fb-4769-af99-5bc6c8fd6e47""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""121029b6-4e94-4aec-bc02-ac000656b391""|2|""MC72-Pakiri-Beach-Auckland-James-Heremaia_1442203421.jpg""|"" ""
""ed4a376f-3148-42f1-8d60-a001d6e2a1e6""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""121029b6-4e94-4aec-bc02-ac000656b391""|3|""APS1542-Auckland-Harbour-Auckland-Julian-Apse_1442203427.jpg""|"" ""
""c635ac05-92d3-440a-bb67-220b7db4cd86""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""121029b6-4e94-4aec-bc02-ac000656b391""|4|""AS52-Auckland-Harbour-Auckland-Explore-NZ_1442203433.jpg""|"" ""
""d7fde0aa-1438-4ac7-a211-19f2ad4c7ab5""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""b359ff89-0c80-439d-beb3-b17565a1f919""|1|""|"" ""
""bca98065-569e-47ef-bd30-c2f35d4d2c83""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""a97dd046-56d6-4c02-ac14-1ff44c04e56b""|1|""|"" ""
""655574dd-948d-410e-b1ba-da737400027c""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""2c793b33-729d-4536-9f72-817e85fc953b""|1|""AT28-Bealey-Valley-Arthur's-Pass-Canterbury-Unlimited-New-Zealand_1442198562.jpg""|"" ""
""18a07d84-3fc3-44b3-9dfa-0b668f7cd1b6""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""304d8f2d-f239-4b28-98c8-e5842259020d""|1|""AT43-Ashburton-Lakes-Canterbury-Sergio-Del-Rosso_1442202148.jpg""|"" ""
""377aaf47-36fa-4f9e-8d7a-c8f473d7df15""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""304d8f2d-f239-4b28-98c8-e5842259020d""|2|""CU05-Lake-Heron-Canterbury-Ashburton-District-Tourism_1442202158.jpg""|"" ""
""1753f666-f0f3-4900-ac9a-95caf0855c9f""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""ca859da3-93f3-430f-9d19-bcdcae7da9cd""|1|""|"" ""
""62a17098-29d9-4dfc-9c53-e98fd1a8f4e1""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""baaced20-305b-472d-971f-d735791aedd2""|1|""|"" ""
""94a06c20-4e1d-4001-ab57-e5e66ac85919""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""f1655156-4869-47a5-b3b5-c0e9efc9523d""|1|""|"" ""
""3db35d92-1fc8-4b50-97b8-d2d0c80fc4ea""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""f29fac00-057a-4d36-8d4e-38835ef66005""|1|""|"" ""
""4d3590cc-6496-4474-ad4d-8029b80bed43""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""0dd4a598-3adf-4487-9f21-21265582dbfd""|1|""|"" ""
""a0bd1cc2-839e-4ea8-a5b0-cd95b5347e8a""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""580d4f41-1b79-46d2-8512-6113199493b6""|1|""|"" ""
""dc281e1e-aae2-4177-8d47-df38220f80c4""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""ad6fd9e5-0217-4642-b0a7-a16748feed66""|1|""|"" ""
""e159340e-1249-471f-a4ea-e43cf39b72f3""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""b5df7f18-6d76-43d4-bf84-8aa1400d628a""|1|""iris_stations_1443760322.jpg""|"" ""
""fe49722a-18ff-4e00-a2f7-94da76ccc5c2""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""b5df7f18-6d76-43d4-bf84-8aa1400d628a""|2|""iris_stations_1443760422.jpg""|"" ""
""17ba103f-5ff9-4be6-a4df-62a447b6f430""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""d2532be2-524f-43b5-b9ce-66e3f497fc82""|1|""|"" ""
""ba7fabb6-a764-4e88-aab0-01bd4f6663e3""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""0f529909-f81c-4989-b1f9-a8503aa54f82""|1|""|"" ""
""41ed0c87-1e36-4bc7-b1c9-74db666c72c3""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""7addc92d-25a2-424e-86ae-c581f81bb49b""|1|""|"" ""
""8a21947b-5e10-4505-81b8-c778cfe8ed62""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""35c51cc4-d079-4bf4-896b-d38f775f2d5b""|1|""iris_stations_1443760870.jpg""|"" ""
""f5804963-d534-48db-bb12-a6763130971f""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""6e9d9ebc-ad18-471c-8f72-987eb1dbae09""|1|""iris_stations_1443761535.JPG""|"" ""
""c7a7a333-27b8-4f03-8f2c-112df99fbac0""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""6e9d9ebc-ad18-471c-8f72-987eb1dbae09""|2|""iris_stations_1443761545.jpg""|"" ""
""186f1053-12b6-4b55-a053-c0e3fc665d96""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""c02561bb-071e-4e5f-8e37-f6784d5526ea""|1|""|"" ""
""a7df3b5f-433e-44a3-9040-e38295b26e34""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""a0bb3e0b-3a2d-4f0e-89d8-18dc99c65414""|1|""|"" ""
""f6d0a884-1c16-49d3-8df4-07d94387e8ea""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""bd34ca42-ffe1-4764-81d5-d10992240778""|1|""iris_stations_1468559000.jpg""|"" ""
""3f69989a-8b3f-4ec2-88f6-755c6ac8d8d4""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""e1b8968f-416b-4f1d-90e4-44032576a328""|1|""|"" ""
""97bc357b-ae14-4f6b-b2db-bb222d07924a""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""fccf98b2-f2a8-44af-947d-d01203ead7d1""|1|""|"" ""
""3d6d1cfb-cfdc-40ca-944e-a7fc58e32afa""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""7efb18e9-1efc-4637-9091-bf841e8e9626""|1|""|"" ""
""a11c8d92-8a46-41e2-a4e7-d69c89f36b9f""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""60fe3888-6844-4c07-b64e-381401572ffe""|1|""|"" ""
""56913c28-2995-406e-876d-778bf53b7f65""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""7a9c5439-fde9-4224-8aea-4d9d90cf0fc1""|1|""iris_stations_1448008462.jpg""|"" ""
""a502ce53-ef62-4de6-9b7a-a053b30dd245""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""f8e3c8d3-f430-4b7e-89ca-565e2d71d0d4""|1|""|"" ""
""acf8b089-9c85-4d07-bab4-ab9eccb25db3""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""13612837-5b1c-4b4b-a7fd-068c848234aa""|1|""|"" ""
""7b404146-ce9f-4f8b-9f67-b0ea72752b8d""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""738ee316-74fd-499c-aef7-4a0b30ae6fd8""|1|""iris_stations_1443762365.jpg""|"" ""
""5eb5045c-99b7-4674-a46e-a21bc42563b7""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""b43dcf14-c1e3-4c78-91e3-9d981f1da4b6""|1|""|"" ""
""772fb3b9-6e7b-46cf-822a-ecf38df9b45e""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""3a5a5330-bb87-4e72-89eb-f65d79f8417e""|1|""iris_stations_1554185450.jpg""|"" ""
""b0f65fe6-3fe9-43ac-a2aa-9d17cfbdfdf1""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""3a5a5330-bb87-4e72-89eb-f65d79f8417e""|2|""iris_stations_1554260838.jpg""|"" ""
""aff64efb-76e9-4434-a8e9-429aaf3f88df""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""cda33494-2134-4a35-bd39-85c9d7eac933""|1|""iris_stations_1443169604.jpg""|"" ""
""2cbcf336-f160-4931-865c-88d9f37ad598""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""cda33494-2134-4a35-bd39-85c9d7eac933""|2|""iris_stations_1443762671.jpg""|"" ""
""4d76d9b9-6303-4cc7-8815-ba990597fbab""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""5ee8ab77-47a4-40e5-82a9-f466029e6b10""|1|""iris_stations_1443169683.jpg""|"" ""
""0af963bc-bd1e-4ff1-91d8-57dd3b3248cc""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""5ee8ab77-47a4-40e5-82a9-f466029e6b10""|2|""iris_stations_1443762841.jpg""|"" ""
""78888532-940a-4455-8a1c-cee680287c36""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""00315c9f-3e0b-42fb-810d-12a78008b6ff""|1|""|"" ""
""f756bedf-395b-4c0a-b5e1-28c9072f6c45""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""37cd803e-87b8-4445-9d8e-7ad24811529a""|1|""iris_stations_1445734094.jpg""|"" ""
""96270891-6bf1-4169-91a0-9a836bdc93de""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""37cd803e-87b8-4445-9d8e-7ad24811529a""|2|""iris_stations_1445734119.jpg""|"" ""
""da6514b6-1fe2-4acf-bc82-72004c58ae77""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""ea659778-41c5-4534-add9-c172ce47711c""|1|""|"" ""
""d8ad05e9-d40f-4d80-9be2-0cb8f4b679da""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""0bf7e0a4-0e0a-498b-bda1-2a9b69e343ba""|1|""iris_stations_1447398638.jpg""|"" ""
""627ed43d-bd8d-4cc6-9bb1-41addd8d41a9""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""647abb45-0955-4b8d-9378-1ba0ad005668""|1|""iris_stations_1442891856.jpg""|"" ""
""eb95ab4b-2daf-45a5-bda9-ccb9a610f107""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""647abb45-0955-4b8d-9378-1ba0ad005668""|2|""iris_stations_1444977472.jpg""|"" ""
""a0dfa851-e965-4ea2-920c-22ac3ae07f1a""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""e587ccae-eb8c-4c1c-8750-0fb6ba63b492""|1|""iris_stations_1444977392.jpg""|"" ""
""4ed6c483-53ee-4cbf-94f8-a1eef7c31dbc""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""d319a3ab-3fa5-4578-a60d-fa6a560ea072""|1|""iris_stations_1443763651.jpg""|"" ""
""a1ee8b79-a681-494c-99f5-61c00d513844""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""d319a3ab-3fa5-4578-a60d-fa6a560ea072""|2|""iris_stations_1443763807.jpg""|"" ""
""76f990e1-3327-4452-9b53-fe66fc49fdf7""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""f9f2c4dc-895c-4381-80ba-b45e7938c85f""|1|""|"" ""
""13fb14fe-b708-4e2a-af66-0153429f57e4""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""68d84956-a586-4186-bde5-2da2cb5a4449""|1|""|"" ""
""c6748fc6-7ed0-4355-9cb6-c9ae2f53c5cf""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""9fc1b91d-5ff0-48c3-b3d2-6117dd6803e7""|1|""|"" ""
""26158ab7-35c3-4fa1-bccd-3cc9710554c3""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""5010f8a4-1d2f-425d-9988-8095b522559b""|1|""|"" ""
""f63b642d-f454-41fe-bdc3-7c4820c75aad""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""9a33cdce-8466-43ed-aa2c-475e240b2c62""|1|""|"" ""
""95921f20-3901-4cb6-92be-0c044fda443d""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""4cbc8655-c55f-436b-ab3c-5ea15ae94058""|1|""iris_stations_1446786717.jpg""|"" ""
""1ff90c2e-6a23-4451-84e4-b8294fa54670""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""4cbc8655-c55f-436b-ab3c-5ea15ae94058""|2|""iris_stations_1446786724.jpg""|"" ""
""4086b09b-f6e3-484b-bc01-ccbf17cfd991""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""4795e26d-8a45-425e-a2e5-2780fffe97cb""|1|""|"" ""
""7628d3bd-94eb-42d8-a5e7-a77f6999d3c8""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""dc207686-30f7-4d8b-ad5c-55f19da2361a""|1|""|"" ""
""0745ba43-ad8f-4c92-8e4c-8f644abf2569""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""ebb9b7b9-2dd2-4634-99c4-4d57ebbf2f02""|1|""iris_stations_1443763146.jpg""|"" ""
""355ee3d2-b0ad-48b0-b39a-ef77f8903535""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""4706428a-81dd-4cf4-b1f4-bfa3bc90f791""|1|""|"" ""
""3cae957b-628a-4177-8028-8a7ddcf350b4""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""564162a1-15fc-4827-85e6-da6608033f8d""|1|""iris_stations_1442892613.jpg""|"" ""
""1c015d50-1ba2-4c8d-afc2-8446a4f7b0a2""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""564162a1-15fc-4827-85e6-da6608033f8d""|2|""iris_stations_1442892617.jpg""|"" ""
""172b3835-1e1f-48bb-ac35-42ae538c9de8""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""fdab2da9-1f37-49f1-bf2c-60792c36d1a6""|1|""iris_stations_1442550751.jpg""|"" ""
""10549071-6fad-4be2-ad66-206785d73390""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""fdab2da9-1f37-49f1-bf2c-60792c36d1a6""|2|""iris_stations_1442892547.jpg""|"" ""
""6fe8957e-cea8-4dbf-a6e2-3006ef4a1d07""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""fdab2da9-1f37-49f1-bf2c-60792c36d1a6""|3|""iris_stations_1442892551.jpg""|"" ""
""c8273a96-7b6b-408e-a7f4-a89222bbcf2e""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""63febef3-56c1-4601-80db-500960f07256""|1|""iris_stations_1442892480.jpg""|"" ""
""4e549fe5-7fa8-4c83-91eb-54002f42726d""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""63febef3-56c1-4601-80db-500960f07256""|2|""iris_stations_1442892484.jpg""|"" ""
""9f03fb3f-cc30-48da-86ae-0de1e3c7979b""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""749b3572-8a80-46d4-84b9-3330368923e9""|1|""iris_stations_1442550347.jpg""|"" ""
""0889ae14-9b0a-43b7-983e-fcf750a9cb56""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""749b3572-8a80-46d4-84b9-3330368923e9""|2|""iris_stations_1442550505.jpg""|"" ""
""07a94637-1220-4934-a73d-214bbf404641""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""1c05af73-6e04-4776-ada2-9645b45e6d4c""|1|""|"" ""
""795f86a6-43e7-4259-83bd-f34741f37ceb""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""d8330507-4e99-4ceb-aa70-f75659cf4874""|1|""iris_stations_1443764316.jpg""|"" ""
""a6b4c73e-f380-45f7-8a91-5c89d0b72ad6""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""8875217c-ba92-4cce-b57f-fd46a824d0d2""|1|""|"" ""
""e670b331-5a1a-472e-92f5-aab5ab3f6dec""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""966dce73-1207-4cfd-b772-6ff147961eec""|1|""iris_stations_1442892815.jpg""|"" ""
""d4ef66e3-6790-4518-bef1-3712d175e8b0""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""bc47eac9-2da3-43f6-8781-178cef2002b9""|1|""|"" ""
""1764276b-75e3-44a8-a3b4-1417a5d13e3a""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""b30f24bb-3b25-4616-b61f-63cd7664a87e""|1|""iris_stations_1447396180.jpg""|"" ""
""8bbdd76e-f19b-490b-9a03-d9c40b0f0798""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""b30f24bb-3b25-4616-b61f-63cd7664a87e""|2|""iris_stations_1447396187.jpg""|"" ""
""cf0bc363-639e-42bc-a788-31ce3920446f""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""15d6252a-756d-4861-b3af-7cdf910cfb46""|1|""iris_stations_1443766241.jpg""|"" ""
""5fa815a9-32d7-48b7-a214-04fbcd9fdb0c""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""82de01a5-404a-4a83-8cd8-031604e6acb8""|1|""|"" ""
""aecb7e85-0964-421d-a27e-4f9e4960a697""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""d4a04e4b-8693-4823-9541-dfe8ed032f94""|1|""|"" ""
""ca24a16f-833c-4211-a45c-85792c89ad78""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""5e8562b2-7b1a-4103-b9a3-33ce7992160b""|1|""|"" ""
""62bb2c6d-dad5-4002-ae3b-1dfb0eef3150""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""0189b2b3-f635-4d06-b3d3-518eef0770ca""|1|""iris_stations_1442894450.jpg""|"" ""
